,prd_name,price,sale_price
205,THE FACE SHOP Arsainte Eco Therapy Tonic with Essential 215ml,USD 24.57,USD 17.17
206,Wellderma Calendula Calming Soon Toner 150ml,USD 23.00,USD 13.80
207,Beauty of Joseon Ginseng Essence Water 150ml,USD 24.55,USD 15.96
208,COSRX Promotion Set Toner Collection,USD 28.00,USD 16.99
209,COSRX Cica Toner Double Edition Kit,USD 39.00,USD 24.49
210,COSRX Find Your Go to Toner RX Hydrating Kit,USD 30.00,USD 17.99
211,COSRX Find Your Go to Toner RX Brightening Kit,USD 30.00,USD 17.99
212,COSRX 2020 Holiday Toner Collection,USD 25.00,USD 16.99
213,Nature Republic Vitapair C Toner 300ml,USD 29.35,USD 20.52
214,TIAM Vita Refre-C Toner 100ml,USD 20.00,USD 17.00
215,innisfree Jeju Cherry Blossom Mist 120ml,USD 19.16,USD 16.29
216,PURITO Centella Unscented Toner 200ml,USD 25.20,USD 21.42
217,innisfree Jeju Blossom Trial Kit,USD 11.00,USD 9.35
218,MISSHA Chogongjin Youngan Toner 150ml,USD 43.90,USD 30.69
219,O HUI Miracle Aqua Mist 50ml*2,USD 23.16,USD 19.69
220,ETUDE HOUSE Wonder Pore Freshner 250ml,USD 15.19,USD 12.91
221,ETUDE HOUSE Wonder Pore Freshner 500ml,USD 24.88,USD 21.15
222,NACIFIC Pink AHA BHA Toner 150ml,USD 26.00,USD 15.57
223,the SAEM Urban Eco Harakeke Toner 150ml,USD 20.66,USD 17.56
224,goodal Green Tangerine Vita C Toner Pad 70ea,USD 29.80,USD 25.33
225,COSRX Full Fit Propolis Synergy Toner 50ml,USD 9.00,USD 6.99
226,COSRX Refresh AHA/BHA Vitamin C Daily Toner 50ml,USD 9.00,USD 6.99
227,COSRX Hydrium Watery Toner 50ml,USD 9.00,USD 6.99
228,COSRX Hydrium Watery Toner 150ml,USD 28.00,USD 13.99
229,COSRX Full Fit Propolis Synergy Toner 150ml,USD 28.00,USD 13.99
230,COSRX Refresh AHA/BHA Vitamin C Daily Toner 150ml,USD 28.00,USD 13.99
231,d'Alba At Home Spa Treatment Set,USD 95.00,USD 80.75
232,ROUND LAB 1025 Dokdo Toner 500ml,USD 34.00,USD 28.90
233,COSRX Pure Fit Cica Toner 150ml,USD 22.00,USD 14.99
234,I'm Sorry For My Skin Relaxing Toner Calming 200ml,USD 25.00,USD 21.25
235,innisfree Truecare PHA Toner Pad 70ea,USD 23.32,USD 19.82
236,innisfree Truecare Panthenol 10 Moisture Skin 250ml,USD 22.56,USD 19.18
237,VELY VELY Pink Peeling Pad 60ea,USD 27.06,USD 23.00
238,VELY VELY Madecassoside Repair Toner 150ml,USD 34.12,USD 29.00
239,VELY VELY Yuja C-Tamin Toner 150ml,USD 31.76,USD 27.00
